ID,nom,fonction,annees,statut,parent,public,support,similaire-a,wikidata,comptoir-du-libre,licence,contexte-usage,label,groupe,version_min,version_max
198,Rancher,Outil d'orchestration de conteneurs,2020 ; 2021 ; 2022,O,,,,75,,386,Apache-2.0,,,MIMPROD,N/A,
199,exodus-privacy (standalone),Analyseur statique d'apk,2020 ; 2021 ; 2022,O,,,,,Q60348651,385,AGPL-3.0,,,MIMDEV,1.1.1,
200,OpenFisca,Moteur de calcul socio-fiscal - [openfisca.org](https://openfisca.org),2020 ; 2021 ; 2022,R,,Oui,,,Q64777688,387,AGPL-3.0,Calculs socio-fiscaux / Évaluation des politiques publiques,,MIMDEV,34.7.3,
201,SDK Géoportail,[Affichage d'une carte dynamique avec les données Géoportail](https://geoservices.ign.fr/documentation/utilisation_web/sdk.html),2020 ; 2021 ; 2022,R,,Oui,,,,388,CECILL-B,Développement web - voir [le dépôt](https://github.com/IGNF/geoportal-sdk),,MIMDEV,3.0.11,
202,Zimbra,Outil de webmail,2020 ; 2021 ; 2022,R,,,,171 ; 68,Q203485,110,Zimbra-1.3,"**Attention** : à partir de la version 9, [Zimbra ne sera plus sous licence libre](https://wiki.zimbra.com/wiki/Zimbra_Releases/9.0.0)",,MIMPROD,> 8 et < 9,
203,TYPO3,Système de gestion de contenus web,2020 ; 2021 ; 2022,R,,,,36 ; 162 ; 173 ; 211,Q618512,87,"GPL-2.0, LGPL-3.0",,,MIMO,10,
204,Colour Contrast Analyser,Outil d'analyse de contraste des couleurs,2020 ; 2021 ; 2022,R,,,,,,398,GPL-3.0,,,MIMO,N/A,
205,Démarches simplifiées,Outil de gestion de formulaires en ligne,2020 ; 2021 ; 2022,R,,Oui,,230,Q93597458,136,AGPL-3.0,Déployée à la DINUM sur https://www.demarches-simplifiees.fr,https://catalogue.numerique.gouv.fr/solutions/demarches-simplifiees-fr,MIMO,2020-06-23-02,
206,FusionDirectory,Outil de gestion d'identités,2020 ; 2021 ; 2022,R,,,,,Q96679195,46,GPL-2.0,,,MIMPROD,1.3,
207,JOSM,Outil d'édition d'OpenStreetMap,2020 ; 2021 ; 2022,R,,,,,Q12877,390,GPL-2.0+,,,MIMO,16538,
208,Moodle,Plateforme d'apprentissage à distance,2020 ; 2021 ; 2022,R,,,Oui,"209, 216",Q190434,250,GPL-3.0,,,MIMO,3.9,
209,Open EDX,Plateforme d'apprentissage à distance,2020 ; 2021 ; 2022,R,,,,"208, 216",Q2106448,396,AGPL-3.0,,,MIMO,N/A,
210,Esup-Pod,Plateforme de gestion de fichiers vidéo,2020 ; 2021 ; 2022,R,,Oui,,197,Q109851936,397,LGPL-3.0,,,MIMO,2.x,
211,SPIP,Système de gestion de contenus web,2020 ; 2021 ; 2022,R,,,Oui,36 ; 162 ; 173 ; 203,Q1536426,36,GPL-3.0,,,MIMO,3.2.9,
212,Pentaho Community Edition,Plateforme BI,2020 ; 2021 ; 2022,O,,,Oui,,Q644841,105,"GPL-2.0, LGPL-2, MPL-1.1",,,MIMO,N/A,
213,Tracim,Outil de gestion des connaissances,2020 ; 2021 ; 2022,R,,,,,,273,"MIT, LGPL-3, AGPL-3",,,MIMO,N/A,
